"id_establecimiento","id_partido","votos","votos_paso","votos_pv","dif_paso","dif_pv"
245,"0135",734,460,636,274,98
246,"0131",1292,627,691,665,601
246,"0135",1299,1064,1252,235,47
247,"0131",2074,883,987,1191,1087
247,"0135",1752,1614,1752,138,0
248,"0131",1124,456,497,668,627
248,"0135",1009,938,1061,71,-52
249,"0131",1105,377,415,728,690
249,"0135",542,679,743,-137,-201
250,"0131",1083,621,670,462,413
250,"0135",1591,1061,1245,530,346
251,"0131",1509,799,898,710,611
251,"0135",1971,1443,1618,528,353
252,"0131",1034,546,614,488,420
252,"0135",1406,1016,1125,390,281
253,"0131",1371,530,599,841,772
253,"0135",1007,980,1070,27,-63
254,"0131",1442,526,615,916,827
254,"0135",972,940,1147,32,-175
255,"0131",657,267,285,390,372
255,"0135",427,442,488,-15,-61
256,"0131",629,373,383,256,246
256,"0135",941,629,716,312,225
257,"0131",1158,563,659,595,499
257,"0135",1487,1107,1228,380,259
258,"0131",2089,956,1049,1133,1040
258,"0135",2303,1811,2103,492,200
259,"0131",1194,561,641,633,553
259,"0135",1512,1195,1345,317,167
260,"0131",907,377,439,530,468
260,"0135",949,826,924,123,25
261,"0131",1096,342,402,754,694
261,"0135",549,716,804,-167,-255
262,"0131",944,329,398,615,546
262,"0135",711,731,791,-20,-80
263,"0131",1065,388,447,677,618
263,"0135",606,704,773,-98,-167
264,"0131",421,245,283,176,138
264,"0135",653,443,513,210,140
265,"0131",508,185,208,323,300
265,"0135",307,374,383,-67,-76
266,"0131",1741,715,777,1026,964
266,"0135",2171,1958,2178,213,-7
267,"0131",1668,498,598,1170,1070
267,"0135",1434,1586,1777,-152,-343
268,"0131",1375,564,636,811,739
268,"0135",1747,1577,1768,170,-21
269,"0131",1678,522,568,1156,1110
269,"0135",1400,1528,1762,-128,-362
270,"0131",2223,777,848,1446,1375
270,"0135",2250,2225,2505,25,-255
271,"0131",1517,702,816,815,701
271,"0135",2581,2009,2267,572,314
272,"0131",558,315,351,243,207
272,"0135",1090,796,892,294,198
273,"0131",2204,1421,1537,783,667
273,"0135",4101,2745,3018,1356,1083
274,"0131",1263,529,584,734,679
274,"0135",1246,1097,1215,149,31
275,"0131",317,170,192,147,125
275,"0135",509,348,404,161,105
276,"0131",1121,399,450,722,671
276,"0135",772,822,918,-50,-146
277,"0131",542,258,278,284,264
277,"0135",552,408,500,144,52
278,"0131",1098,486,516,612,582
278,"0135",1100,981,1103,119,-3
279,"0131",731,228,261,503,470
279,"0135",358,448,517,-90,-159
280,"0131",1646,820,907,826,739
280,"0135",2178,1640,1861,538,317
281,"0131",480,163,186,317,294
281,"0135",334,341,392,-7,-58
282,"0131",2904,1113,1259,1791,1645
282,"0135",3293,3012,3305,281,-12
283,"0131",1690,771,850,919,840
283,"0135",2302,2007,2073,295,229
284,"0131",1772,654,783,1118,989
284,"0135",2081,1900,2081,181,0
285,"0131",2133,780,907,1353,1226
285,"0135",2309,2170,2449,139,-140
286,"0131",1755,570,673,1185,1082
286,"0135",1280,1491,1623,-211,-343
287,"0131",1604,582,658,1022,946
287,"0135",1382,1446,1603,-64,-221
288,"0131",1743,686,757,1057,986
288,"0135",1321,1219,1394,102,-73
289,"0131",1219,1014,1122,205,97
289,"0135",3177,1673,1955,1504,1222
290,"0131",1078,452,484,626,594
290,"0135",831,671,844,160,-13
291,"0131",758,330,357,428,401
291,"0135",611,556,619,55,-8
292,"0131",989,602,694,387,295
292,"0135",1844,1127,1353,717,491
293,"0131",1955,756,857,1199,1098
293,"0135",1446,1411,1607,35,-161
294,"0131",1980,879,984,1101,996
294,"0135",1974,1587,1825,387,149
295,"0131",1091,526,597,565,494
295,"0135",1412,1000,1211,412,201
296,"0131",713,288,309,425,404
296,"0135",639,592,657,47,-18
297,"0131",2314,787,858,1527,1456
297,"0135",1899,1960,2371,-61,-472
298,"0131",1998,715,787,1283,1211
298,"0135",1958,1918,2219,40,-261
299,"0131",1065,466,501,599,564
299,"0135",1448,1301,1437,147,11
300,"0131",1166,298,328,868,838
300,"0135",530,860,969,-330,-439
301,"0131",1687,849,942,838,745
301,"0135",3089,2374,2670,715,419
302,"0131",915,349,400,566,515
302,"0135",1071,989,1109,82,-38
303,"0131",1795,711,872,1084,923
303,"0135",1757,1372,1626,385,131
304,"0131",1149,454,502,695,647
304,"0135",975,972,1054,3,-79
305,"0131",1171,535,542,636,629
305,"0135",1001,1093,1066,-92,-65
306,"0131",884,394,440,490,444
306,"0135",799,643,768,156,31
307,"0131",1445,725,835,720,610
307,"0135",1920,1435,1558,485,362
308,"0131",436,294,340,142,96
308,"0135",965,609,666,356,299
309,"0131",2279,946,1061,1333,1218
309,"0135",1956,1787,1954,169,2
310,"0131",977,505,578,472,399
310,"0135",1306,969,1066,337,240
311,"0131",2196,844,894,1352,1302
311,"0135",1133,1198,1378,-65,-245
312,"0131",961,498,550,463,411
312,"0135",970,694,778,276,192
313,"0131",450,439,501,11,-51
313,"0135",1215,610,666,605,549
314,"0131",1056,471,536,585,520
314,"0135",909,739,843,170,66
315,"0131",1597,538,588,1059,1009
315,"0135",355,695,799,-340,-444
316,"0131",1126,676,671,450,455
316,"0135",1333,1096,1071,237,262
317,"0131",1102,608,682,494,420
317,"0135",1311,981,1034,330,277
318,"0131",1318,695,769,623,549
318,"0135",1401,1037,1149,364,252
319,"0131",74,148,145,-74,-71
319,"0135",493,225,255,268,238
320,"0131",2317,1030,1188,1287,1129
320,"0135",2820,2169,2513,651,307
321,"0131",282,154,168,128,114
321,"0135",429,311,359,118,70
322,"0131",863,360,414,503,449
322,"0135",924,731,829,193,95
323,"0131",1134,674,766,460,368
323,"0135",1932,1234,1458,698,474
324,"0131",2214,721,806,1493,1408
324,"0135",1481,1624,1867,-143,-386
325,"0131",1455,631,714,824,741
325,"0135",1589,1359,1537,230,52
326,"0131",1852,732,820,1120,1032
326,"0135",1932,1688,1858,244,74
327,"0131",1005,569,618,436,387
327,"0135",1694,1186,1388,508,306
328,"0131",695,241,274,454,421
328,"0135",397,448,487,-51,-90
329,"0131",1837,777,884,1060,953
329,"0135",1975,1714,1947,261,28
330,"0131",1281,395,428,886,853
330,"0135",834,969,1087,-135,-253
331,"0131",1874,722,821,1152,1053
331,"0135",1556,1443,1644,113,-88
332,"0131",1429,584,627,845,802
332,"0135",1432,1189,1355,243,77
333,"0131",1019,530,538,489,481
333,"0135",1155,1059,1011,96,144
334,"0131",1395,537,607,858,788
334,"0135",1207,1084,1235,123,-28
335,"0131",1898,528,640,1370,1258
335,"0135",1438,1668,1888,-230,-450
336,"0131",804,319,323,485,481
336,"0135",1052,952,1069,100,-17
337,"0131",1002,403,452,599,550
337,"0135",1426,1229,1367,197,59
338,"0131",1822,563,549,1259,1273
338,"0135",1155,1635,1724,-480,-569
339,"0131",1998,761,826,1237,1172
339,"0135",2352,2089,2365,263,-13
340,"0131",685,250,305,435,380
340,"0135",687,664,752,23,-65
341,"0131",1969,698,797,1271,1172
341,"0135",1090,1170,1326,-80,-236
342,"0131",1133,427,469,706,664
342,"0135",741,786,820,-45,-79
343,"0131",1187,696,587,491,600
343,"0135",1457,1186,1120,271,337
344,"0131",728,275,295,453,433
344,"0135",387,476,494,-89,-107
345,"0131",813,347,365,466,448
345,"0135",860,752,846,108,14
346,"0131",648,222,239,426,409
346,"0135",483,488,555,-5,-72
347,"0131",1715,751,818,964,897
347,"0135",1896,1596,1851,300,45
348,"0131",1813,1417,1580,396,233
348,"0135",2133,1079,1214,1054,919
349,"0131",1155,700,804,455,351
349,"0135",921,628,670,293,251
350,"0131",1647,1144,1307,503,340
350,"0135",1724,813,1045,911,679
351,"0131",1366,1066,1230,300,136
351,"0135",1974,1041,1073,933,901
352,"0131",1311,861,946,450,365
352,"0135",1075,691,724,384,351
353,"0131",820,909,927,-89,-107
353,"0135",1477,679,675,798,802
354,"0131",1775,1039,1170,736,605
354,"0135",1337,885,995,452,342
355,"0131",681,747,819,-66,-138
355,"0135",1166,515,558,651,608
356,"0131",1209,888,991,321,218
356,"0135",1192,736,791,456,401
357,"0131",1236,1012,1142,224,94
357,"0135",1350,680,722,670,628
358,"0131",1036,617,683,419,353
358,"0135",823,549,624,274,199
359,"0131",1580,1013,1234,567,346
359,"0135",1345,836,898,509,447
360,"0131",1354,916,1077,438,277
360,"0135",1281,690,794,591,487
361,"0131",823,1103,1199,-280,-376
361,"0135",1827,692,672,1135,1155
362,"0131",1440,969,1077,471,363
362,"0135",1230,725,822,505,408
363,"0131",1551,1155,1297,396,254
363,"0135",1402,793,834,609,568
364,"0131",1546,588,642,958,904
364,"0135",997,966,1110,31,-113
365,"0131",1652,722,785,930,867
365,"0135",1715,1436,1569,279,146
366,"0131",834,464,514,370,320
366,"0135",1124,796,879,328,245
367,"0131",1136,651,682,485,454
367,"0135",1387,907,1075,480,312
368,"0131",1108,620,646,488,462
368,"0135",1457,871,1134,586,323
369,"0131",2055,1099,1329,956,726
369,"0135",1548,1080,1277,468,271
370,"0131",1787,1186,1304,601,483
370,"0135",2019,1238,1467,781,552
371,"0131",1442,1038,1158,404,284
371,"0135",2161,1224,1441,937,720
372,"0131",2004,1080,1191,924,813
372,"0135",1578,1228,1332,350,246
373,"0131",2520,1388,1517,1132,1003
373,"0135",1919,1511,1672,408,247
374,"0131",1836,924,909,912,927
374,"0135",925,1063,1004,-138,-79
375,"0131",1966,880,989,1086,977
375,"0135",808,931,978,-123,-170
376,"0131",2121,1098,1202,1023,919
376,"0135",1469,1315,1386,154,83
377,"0131",1581,867,943,714,638
377,"0135",1144,886,980,258,164
378,"0131",1978,1051,1160,927,818
378,"0135",1338,1091,1222,247,116
379,"0131",1380,771,834,609,546
379,"0135",1050,863,916,187,134
380,"0131",2487,1447,1676,1040,811
380,"0135",2126,1470,1606,656,520
381,"0131",2344,1321,1433,1023,911
381,"0135",1737,1319,1408,418,329
382,"0131",903,540,595,363,308
382,"0135",984,588,670,396,314
383,"0131",1616,793,908,823,708
383,"0135",836,789,893,47,-57
384,"0131",2151,1209,1337,942,814
384,"0135",1639,1253,1344,386,295
385,"0131",1853,1223,1312,630,541
385,"0135",1832,1118,1292,714,540
386,"0131",1133,783,998,350,135
